course_code	name	bundle	quota	enrol	avail	wait	section_id	semester_id	section_type	is_main	layer
UFUG1501	T01	1	90	68	22	0	6433	2430	T	f	0
UFUG1503	T01	1	135	115	20	0	6452	2430	T	f	0
AIAA2205	L01	1	100	44	56	0	6245	2430	L	t	0
AIAA2290	L01	1	45	45	0	0	6250	2430	L	t	0
AIAA2711	L01	1	100	91	9	0	6247	2430	L	t	0
DSAA1001	L01	1	80	19	61	0	6251	2430	L	t	0
DSAA1001	LA01	1	80	19	61	0	6252	2430	LA	f	0
DSAA2011	L01	1	71	71	0	0	6255	2430	L	t	0
DSAA2011	L02	2	60	31	29	0	6256	2430	L	t	0
DSAA2011	LA01	1	71	71	0	0	6258	2430	LA	f	0
DSAA2011	LA02	2	60	31	29	0	6260	2430	LA	f	0
DSAA2031	L01	1	60	15	45	0	6264	2430	L	t	0
DSAA2031	LA01	1	60	15	45	0	6265	2430	LA	f	0
DSAA2043	L01	1	40	40	0	0	6268	2430	L	t	0
DSAA2043	L02	2	40	27	13	0	6269	2430	L	t	0
DSAA2043	LA01	1	40	40	0	0	6270	2430	LA	f	0
DSAA2043	LA02	2	40	27	13	0	6271	2430	LA	f	0
UCUG1001	L01	1	243	234	9	0	6534	2430	L	t	0
UCUG1001	L02	2	93	93	0	0	6535	2430	L	t	0
UCUG1071	T01	1	25	9	16	0	6511	2430	T	t	0
UCUG1501	T01	1	20	19	1	0	6281	2430	T	f	0
UCUG1503	L01	1	25	25	0	0	6319	2430	L	t	0
UCUG1503	T01	1	25	25	0	0	6320	2430	T	f	0
UCUG1504	L01	1	20	10	10	0	6322	2430	L	t	0
UCUG1505	L01	1	25	25	0	0	6325	2430	L	t	0
UCUG1505	L02	2	30	28	2	0	6326	2430	L	t	0
UCUG1505	L03	3	30	28	2	0	6327	2430	L	t	0
UCUG1506	L01	1	30	30	0	0	6331	2430	L	t	0
UCUG1600	L01	1	30	27	3	0	6284	2430	L	t	0
UCUG1600	L02	2	30	27	3	0	6285	2430	L	t	0
UCUG1800	L01	1	25	23	2	0	6333	2430	L	t	0
UCUG1800	L02	2	25	22	3	0	6336	2430	L	t	0
UCUG1807	L01	1	30	29	1	0	6337	2430	L	t	0
UCUG1807	T01	1	30	29	1	0	6338	2430	T	f	0
UCUG1900	L01	1	30	30	0	0	6339	2430	L	t	0
UCUG1900	L02	2	30	12	18	0	6340	2430	L	t	0
UCUG1905	L01	1	30	30	0	0	6341	2430	L	t	0
UCUG1907	L02	2	30	15	15	0	6343	2430	L	t	0
UCUG2603	L01	1	30	30	0	0	6344	2430	L	t	0
UCUG2603	L02	2	30	30	0	0	6345	2430	L	t	0
UFUG1103	L01	1	45	29	16	0	6490	2430	L	t	0
UFUG1103	L02	2	49	49	0	0	6491	2430	L	t	0
UFUG1103	L03	3	45	35	10	0	6492	2430	L	t	0
UFUG1103	T01	1	45	29	16	0	6505	2430	T	f	0
UFUG1103	T02	2	49	49	0	0	6506	2430	T	f	0
UFUG1103	T03	3	45	35	10	0	6507	2430	T	f	0
UFUG1106	L01	1	46	46	0	0	6350	2430	L	t	0
UFUG1106	L02	2	45	29	16	0	6351	2430	L	t	0
UFUG1106	L03	3	48	47	1	0	6353	2430	L	t	0
UFUG1106	L04	4	50	49	1	0	6354	2430	L	t	0
UFUG1106	L05	5	45	37	8	0	6356	2430	L	t	0
UFUG1106	T01	1	46	46	0	0	6357	2430	T	f	0
UFUG1106	T02	2	45	29	16	0	6358	2430	T	f	0
UFUG1106	T03	3	48	47	1	0	6359	2430	T	f	0
UFUG1106	T04	4	50	49	1	0	6360	2430	T	f	0
UFUG1106	T05	5	45	37	8	0	6361	2430	T	f	0
UFUG1301	L01	1	48	42	6	0	6369	2430	L	t	0
UFUG1301	T01	1	48	42	6	0	6372	2430	T	f	0
UFUG1302	L01	1	40	34	6	0	6378	2430	L	t	0
UFUG1302	T01	1	40	34	6	0	6383	2430	T	f	0
UFUG1303	T01	1	40	14	26	0	6396	2430	T	f	0
UFUG1401	L01	1	28	26	2	0	6400	2430	L	t	0
UFUG1401	L02	2	28	26	2	0	6401	2430	L	t	0
UFUG1403	L01	1	40	27	13	0	6411	2430	L	t	0
UFUG1501	L01	1	45	42	3	0	6421	2430	L	t	0
UFUG1501	L02	2	45	26	19	0	6422	2430	L	t	0
UFUG1503	L01	1	45	45	0	0	6439	2430	L	t	0
UFUG1503	L02	2	60	55	5	0	6440	2430	L	t	0
UFUG1503	L03	3	45	15	30	0	6441	2430	L	t	0
UFUG1811	L01	1	40	16	24	0	6409	2430	L	t	0
UFUG1811	T01	1	40	16	24	0	6410	2430	T	f	0
UFUG2104	L01	1	60	48	12	0	6460	2430	L	t	0
UFUG2104	L02	2	60	51	9	0	6461	2430	L	t	0
UFUG2104	L04	4	60	60	0	0	6463	2430	L	t	0
UFUG2104	T01	1	60	48	12	0	6464	2430	T	f	0
UFUG2104	T02	2	60	51	9	0	6465	2430	T	f	0
UFUG2104	T04	4	60	60	0	0	6467	2430	T	f	0
UFUG2106	L01	1	60	40	20	0	6470	2430	L	t	0
UFUG2601	L01	1	48	46	2	0	6473	2430	L	t	0
UFUG2601	L02	2	45	27	18	0	6477	2430	L	t	0
UFUG2601	LA02	2	45	27	18	0	6479	2430	LA	f	0
UFUG2602	L01	1	45	30	15	0	6483	2430	L	t	0
UFUG2602	L02	2	45	19	26	0	6484	2430	L	t	0
UFUG2602	T01	1	45	30	15	0	6502	2430	T	f	0
UFUG2602	T02	2	45	19	26	0	6503	2430	T	f	0
UFUG2602	LA01	1	45	30	15	0	6485	2430	LA	f	0
UFUG2602	LA02	2	45	19	26	0	6486	2430	LA	f	0
SMMG3020	L01	1	40	20	20	0	6278	2430	L	t	0
SMMG4020	L01	1	30	13	17	0	6277	2430	L	t	0
AIAA1010	L01	1	100	70	30	0	6249	2430	L	t	0
UCUG1052A	T01	1	28	26	2	0	6294	2430	T	t	0
UCUG1052A	T02	2	29	29	0	0	6295	2430	T	t	0
UCUG1052A	T03	3	31	30	1	0	6297	2430	T	t	0
UCUG1052A	T04	4	29	28	1	0	6518	2430	T	t	0
UCUG1052I	T01	1	20	20	0	0	6298	2430	T	t	0
UCUG1052I	T02	2	20	19	1	0	6299	2430	T	t	0
UCUG1052S	T01	1	27	27	0	0	6300	2430	T	t	0
UCUG1052S	T02	2	27	27	0	0	6301	2430	T	t	0
UCUG1052S	T03	3	27	27	0	0	6302	2430	T	t	0
UCUG1052S	T04	4	27	27	0	0	6304	2430	T	t	0
UCUG1052S	T05	5	27	27	0	0	6305	2430	T	t	0
UCUG1052S	T06	6	27	8	19	0	6306	2430	T	t	0
UCUG1052S	T07	7	27	26	1	0	6307	2430	T	t	0
UCUG1501	L01	1	20	19	1	0	6280	2430	L	t	0
UCUG3801	L01	1	30	30	0	0	6347	2430	L	t	0
UFUG1303	L01	1	40	14	26	0	6390	2430	L	t	0
UFUG2601	LA01	1	48	46	2	0	6478	2430	LA	f	0
